 ,problem,size,size_cat,solver,budget,dist_type,name_type,rep,fx,norm_fx,pheno
178,OneMax,8,small,genetic_algorithm,20,coarse,lin,18,7.0,0.7484276729559748,"[1, 1, 1, 1, 0, 1, 1, 1]"
179,OneMax,8,small,genetic_algorithm,20,coarse,lin,19,6.0,0.49685534591194963,"[1, 1, 0, 1, 0, 1, 1, 1]"
180,OneMax,8,small,genetic_algorithm,20,coarse,str,0,6.0,0.49685534591194963,"[1, 1, 1, 1, 1, 0, 0, 1]"
181,OneMax,8,small,genetic_algorithm,20,coarse,str,1,6.0,0.49685534591194963,"[1, 1, 1, 1, 0, 0, 1, 1]"
182,OneMax,8,small,genetic_algorithm,20,coarse,str,2,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 1, 0]"
183,OneMax,8,small,genetic_algorithm,20,coarse,str,3,5.0,0.24528301886792447,"[1, 0, 1, 0, 1, 0, 1, 1]"
184,OneMax,8,small,genetic_algorithm,20,coarse,str,4,7.0,0.7484276729559748,"[1, 1, 1, 1, 0, 1, 1, 1]"
185,OneMax,8,small,genetic_algorithm,20,coarse,str,5,6.0,0.49685534591194963,"[1, 1, 0, 1, 1, 1, 1, 0]"
186,OneMax,8,small,genetic_algorithm,20,coarse,str,6,6.0,0.49685534591194963,"[1, 1, 1, 1, 1, 0, 1, 0]"
187,OneMax,8,small,genetic_algorithm,20,coarse,str,7,7.0,0.7484276729559748,"[1, 0, 1, 1, 1, 1, 1, 1]"
188,OneMax,8,small,genetic_algorithm,20,coarse,str,8,6.0,0.49685534591194963,"[0, 1, 0, 1, 1, 1, 1, 1]"
189,OneMax,8,small,genetic_algorithm,20,coarse,str,9,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
190,OneMax,8,small,genetic_algorithm,20,coarse,str,10,7.0,0.7484276729559748,"[1, 1, 1, 0, 1, 1, 1, 1]"
191,OneMax,8,small,genetic_algorithm,20,coarse,str,11,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
192,OneMax,8,small,genetic_algorithm,20,coarse,str,12,5.0,0.24528301886792447,"[1, 1, 1, 1, 1, 0, 0, 0]"
193,OneMax,8,small,genetic_algorithm,20,coarse,str,13,4.0,-0.006289308176100719,"[0, 1, 0, 1, 1, 1, 0, 0]"
194,OneMax,8,small,genetic_algorithm,20,coarse,str,14,7.0,0.7484276729559748,"[1, 0, 1, 1, 1, 1, 1, 1]"
195,OneMax,8,small,genetic_algorithm,20,coarse,str,15,6.0,0.49685534591194963,"[1, 1, 1, 0, 0, 1, 1, 1]"
196,OneMax,8,small,genetic_algorithm,20,coarse,str,16,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 0, 1]"
197,OneMax,8,small,genetic_algorithm,20,coarse,str,17,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 0, 1]"
198,OneMax,8,small,genetic_algorithm,20,coarse,str,18,6.0,0.49685534591194963,"[1, 0, 1, 0, 1, 1, 1, 1]"
199,OneMax,8,small,genetic_algorithm,20,coarse,str,19,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 1, 0]"
200,OneMax,8,small,genetic_algorithm,20,fine,lin,0,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 0, 1, 1]"
201,OneMax,8,small,genetic_algorithm,20,fine,lin,1,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
202,OneMax,8,small,genetic_algorithm,20,fine,lin,2,5.0,0.24528301886792447,"[1, 1, 0, 1, 0, 1, 0, 1]"
203,OneMax,8,small,genetic_algorithm,20,fine,lin,3,6.0,0.49685534591194963,"[1, 1, 0, 0, 1, 1, 1, 1]"
204,OneMax,8,small,genetic_algorithm,20,fine,lin,4,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 0, 1, 1]"
205,OneMax,8,small,genetic_algorithm,20,fine,lin,5,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
